StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"QLD"," D","1","PYKE","John Richard","",33
"QLD"," D","1","TOOLEY","Christopher Ronald","",34
"QLD"," D","1","LINDSAY-PARK","E-Jay","",37
"QLD"," D","1","GUERIN","Lachlan","",38
"QLD"," D","1","EVANS","Rod","One Nation",8
"QLD"," D","1","NELSON","Ian J","One Nation",9
"QLD"," D","1","WATTIE","Russell","",35
"QLD"," D","1","DOWELL","John","",36
"QLD"," D","1","STEVENSON","Paul Joseph","Australian Democrats",44
"QLD"," D","1","CLUSE","Jennifer","Australian Democrats",45
"QLD"," D","1","SCHUBACK","Peter","Australia First Party",10
"QLD"," D","1","MAINE","Nick","Australia First Party",11
"QLD"," D","1","ALBERTS","Kat","Secular Party of Australia",48
"QLD"," D","1","SHELTON","Peter","Secular Party of Australia",49
"QLD"," D","1","CARDWELL","Terence Leonard","The Climate Sceptics",6
"QLD"," D","1","JONES","Lance Herbert","The Climate Sceptics",7
"QLD"," D","1","THIES","Robert","Citizens Electoral Council",17
"QLD"," D","1","HETHERINGTON","Maurice Verney","Citizens Electoral Council",18
"QLD"," D","1","BRANDIS","George Henry","Liberal National Party of Queensland",22
"QLD"," D","1","JOYCE","Barnaby","Liberal National Party of Queensland",19
"QLD"," D","1","MASON","Brett","Liberal National Party of Queensland",20
"QLD"," D","1","TROOD","Russell","Liberal National Party of Queensland",21
"QLD"," D","1","BOYD","Julie","Liberal National Party of Queensland",23
"QLD"," D","1","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",15
"QLD"," D","1","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",16
"QLD"," D","1","GIBSON","Desiree Lee","Australian Sex Party",56
"QLD"," D","1","SHEEN","Tim","Australian Sex Party",57
"QLD"," D","1","WATERS","Larissa","The Greens",58
"QLD"," D","1","CONNORS","Elizabeth Louise Alice","The Greens",59
"QLD"," D","1","STIRLING","Jenny","The Greens",60
"QLD"," D","1","WATSON","Sam","Socialist Alliance",50
"QLD"," D","1","LOWE","David","Socialist Alliance",51
"QLD"," D","1","LUDWIG","Joe","Australian Labor Party",52
"QLD"," D","1","McLUCAS","Jan","Australian Labor Party",53
"QLD"," D","1","SMITH","David","Australian Labor Party",54
"QLD"," D","1","FENTIMAN","Shannon","Australian Labor Party",55
"QLD"," D","1","FRYAR","Jim","Liberal Democrats (LDP)",46
"QLD"," D","1","FULTON","Robert","Liberal Democrats (LDP)",47
"QLD"," D","1","ZEGENHAGEN","Tony","D.L.P. - Democratic Labor Party",12
"QLD"," D","1","BARR","Angelique Maree","D.L.P. - Democratic Labor Party",13
"QLD"," D","1","JACKSON","Noel W","D.L.P. - Democratic Labor Party",14
"QLD"," D","1","BRICE","Malcolm","Christian Democratic Party",4
"QLD"," D","1","VOGEL","Tony","Christian Democratic Party",5
"QLD"," D","1","WHITE","Mark","Independent",39
"QLD"," D","1","BAMBRICK","Don","Independent",40
"QLD"," D","1","SMITH","Mark Leslie Chapman","Independent",41
"QLD"," D","1","WIRTH","Jarrod John","Independent",42
"QLD"," D","1","PYKE","Peter","",30
"QLD"," D","1","CARROLL","Maurie","Independent",43
